ID,LTPC,Northing,Easting,L30_2024_B01summer,L30_2024_B01winter,L30_2024_B01yearly,L30_2024_B02summer,L30_2024_B02winter,L30_2024_B02yearly,L30_2024_B03summer,L30_2024_B03winter,L30_2024_B03yearly,L30_2024_B04summer,L30_2024_B04winter,L30_2024_B04yearly,L30_2024_B05summer,L30_2024_B05winter,L30_2024_B05yearly,L30_2024_B06summer,L30_2024_B06winter,L30_2024_B06yearly,L30_2024_B07summer,L30_2024_B07winter,L30_2024_B07yearly,L30_2024_B09summer,L30_2024_B09winter,L30_2024_B09yearly,L30_2024_EVI2summer,L30_2024_EVI2winter,L30_2024_EVI2yearly,L30_2024_EVI2_Difference,S30_2024_B01summer,S30_2024_B01winter,S30_2024_B01yearly,S30_2024_B02summer,S30_2024_B02winter,S30_2024_B02yearly,S30_2024_B03summer,S30_2024_B03winter,S30_2024_B03yearly,S30_2024_B04summer,S30_2024_B04winter,S30_2024_B04yearly,S30_2024_B05summer,S30_2024_B05winter,S30_2024_B05yearly,S30_2024_B06summer,S30_2024_B06winter,S30_2024_B06yearly,S30_2024_B07summer,S30_2024_B07winter,S30_2024_B07yearly,S30_2024_B08summer,S30_2024_B08winter,S30_2024_B08yearly,S30_2024_B09summer,S30_2024_B09winter,S30_2024_B09yearly,S30_2024_B10summer,S30_2024_B10winter,S30_2024_B10yearly,S30_2024_B11summer,S30_2024_B11winter,S30_2024_B11yearly,S30_2024_B12summer,S30_2024_B12winter,S30_2024_B12yearly,S30_2024_B8Asummer,S30_2024_B8Awinter,S30_2024_B8Ayearly,S30_2024_EVI2summer,S30_2024_EVI2winter,S30_2024_EVI2yearly
0,1,4326711.88490919,541067.5401783057,0.020325,0.03255,0.02564737,0.0269,0.04175,0.032742105,0.062325,0.0636,0.06134737,0.044975,0.07495,0.05688421,0.320575,0.23105,0.26893684,0.188525,0.2125,0.19839475,0.08735,0.1321,0.10711052,0.0011,0.00155,0.0013789474,0.48231903,0.27659062,0.37719464,0.20572841,0.025321428,0.082558334,0.038970493,0.029728571,0.0716,0.040745903,0.06280714,0.0939,0.06869508,0.048292857,0.108608335,0.06807541,0.09955,0.14735834,0.11157049,0.22779284,0.20926668,0.20676064,0.27364284,0.235925,0.2420377,0.27725,0.23951668,0.24762952,0.05337857,0.10759167,0.08497049,0.0025928572,0.0021833335,0.0022,0.20274286,0.20941667,0.21379673,0.09771429,0.12868334,0.11615245,0.30934286,0.26668334,0.2752246,0.41086146,0.21815488,0.31813034
1,1,4212545.705168084,608116.1493071939,0.0223,0.051454548,0.034988094,0.030855555,0.074481815,0.04908095,0.0806,0.11862727,0.09332619,0.0567,0.15453637,0.09744524,0.46385556,0.32440907,0.38778096,0.22812222,0.32837272,0.27366903,0.10486666,0.21099092,0.15232858,0.0011777778,0.0029636363,0.00205,0.6362062,0.25050592,0.44759318,0.3857003,0.0238625,0.10181667,0.042106062,0.0316375,0.12516667,0.05582121,0.076575,0.16775,0.09770606,0.0539875,0.2082,0.10171515,0.1233375,0.24825,0.15851212,0.318475,0.30683333,0.29260302,0.392025,0.33525,0.3443,0.3994875,0.35113332,0.3579333,0.074,0.14776666,0.11571212,0.001325,0.0027666667,0.0029969695,0.2312625,0.30845,0.27575758,0.1054125,0.19873334,0.14950909,0.443325,0.37295,0.3898303,0.56489044,0.19306825,0.39982867
2,1,4212124.366101484,668162.9390226915,0.026125,0.028183334,0.024954546,0.030725,0.0393,0.03282273,0.0667,0.0662,0.06342273,0.052,0.08343333,0.064822726,0.387325,0.21441667,0.28675455,0.2029,0.21581668,0.20691365,0.095375,0.1353,0.1147,0.001125,0.00165,0.0017954546,0.55439365,0.2314755,0.3846761,0.32291815,0.019171428,0.020725,0.02234,0.030885715,0.0312,0.033973332,0.06921429,0.05725,0.06730667,0.056814287,0.0786,0.0709,0.10357142,0.10465,0.11021666,0.28874284,0.151675,0.22383,0.36242858,0.177725,0.26873666,0.3570857,0.18375,0.27506334,0.07431429,0.05495,0.08327334,0.0017428572,0.001425,0.0025366666,0.20714284,0.228525,0.23191999,0.09782857,0.139125,0.12844333,0.3977143,0.2092,0.3044,0.5026506,0.19154541,0.35316917
3,1,4226424.732631273,707719.8690073066,0.0241,0.04376,0.03178421,0.028825,0.057759997,0.04033158,0.0569,0.0826,0.066136844,0.04275,0.111159995,0.07718947,0.4241,0.21093999,0.2613,0.207925,0.26456,0.23375788,0.10095,0.1788,0.14615789,0.00095,0.00154,0.0013947368,0.62446785,0.16880688,0.31818798,0.45566097,0.021353846,0.057381816,0.032707274,0.027292306,0.09843636,0.051312726,0.056215387,0.12547272,0.078940004,0.043646153,0.1564909,0.091512725,0.079969235,0.16821818,0.11846909,0.26047692,0.20432727,0.20196909,0.35837692,0.22145455,0.24249636,0.36832306,0.24559093,0.25615454,0.05191539,0.096109085,0.07472182,0.0009923077,0.0025636363,0.0019763636,0.20246154,0.23841819,0.23910181,0.0982,0.16553636,0.15076181,0.3968,0.25022727,0.27474546,0.5510194,0.13740087,0.27890548
4,1,4236833.110793401,551360.5183635745,0.021825,0.0475,0.030472223,0.02685,0.0609,0.039027777,0.06915,0.09083333,0.072577775,0.042325,0.121866666,0.07192778,0.4393,0.26446667,0.32385558,0.216225,0.35503334,0.26425555,0.095175,0.2263,0.14647222,0.0009,0.0052,0.002661111,0.64407194,0.22897379,0.42086667,0.41509813,0.023576923,0.06766154,0.038274243,0.028676923,0.075538464,0.044763636,0.06676154,0.09970769,0.073054545,0.041007694,0.13327692,0.078353025,0.10699231,0.1658,0.1236303,0.30537692,0.20314616,0.22267425,0.37083846,0.22826155,0.2601182,0.37646922,0.24253076,0.27236515,0.056538463,0.11359231,0.087848485,0.0010538462,0.0023384616,0.0019742425,0.21856923,0.3208,0.27279547,0.09573846,0.20102307,0.15540151,0.41616154,0.2693077,0.30052727,0.5686221,0.17481785,0.33211875
5,1,4210751.485293985,603604.3274814812,0.025942856,0.03083,0.028123077,0.03257143,0.041160002,0.0349359,0.06425714,0.06275,0.060802564,0.0589,0.079009995,0.061589748,0.2833,0.17028001,0.24247693,0.2224,0.21738,0.2139795,0.113471426,0.14444,0.12253077,0.0013857143,0.00228,0.0019820512,0.3937782,0.16778761,0.3252682,0.2259906,0.029325,0.070483334,0.03781613,0.036625,0.07608333,0.043909676,0.06965,0.09885,0.0729742,0.065575,0.12015,0.0750871,0.1083875,0.14211667,0.11340322,0.21965,0.17378333,0.20689033,0.259075,0.19105,0.24029033,0.269225,0.20023334,0.25314194,0.0575625,0.08778333,0.08038387,0.001175,0.0022333334,0.0019225808,0.2444,0.2132,0.23826128,0.13275,0.14173333,0.13608387,0.293775,0.21473333,0.27295807,0.35687876,0.13449499,0.31055692
6,1,4329262.181169709,592977.7152663383,0.025375,0.034,0.032735292,0.0283,0.0396,0.038923528,0.058825,0.0562,0.0644647,0.03825,0.0761,0.06874706,0.378975,0.1714,0.27285293,0.18835,0.2527,0.23993531,0.082275,0.1679,0.13489412,0.0013,0.0034,0.0014941177,0.5791589,0.17595491,0.35488135,0.403204,0.0228125,0.1188,0.039832145,0.025225,0.12803334,0.046246428,0.057875,0.14576666,0.07242857,0.034,0.18183334,0.07883214,0.0906,0.20183334,0.11791428,0.2862,0.2229,0.21528572,0.3547,0.24146667,0.25566784,0.3596,0.2557333,0.26505357,0.05855,0.11813334,0.07523571,0.0011875,0.0028,0.0017607143,0.19415,0.26546666,0.24722144,0.08145,0.17446667,0.13586786,0.389375,0.27473333,0.29092857,0.5648071,0.109181665,0.32013294
7,1,4287815.602493816,577899.9497209829,0.03596,0.0515,0.038564708,0.044979997,0.0617,0.047288235,0.085540004,0.0937,0.08334706,0.07396,0.105,0.07692353,0.39633998,0.3109,0.37025294,0.25124,0.2924,0.24987058,0.13638,0.19385,0.14371176,0.00174,0.00215,0.0017352941,0.5120901,0.3293557,0.47163033,0.1827344,0.031083334,0.04316,0.034416072,0.041816667,0.06212,0.048867855,0.08185833,0.09329,0.08426964,0.06971667,0.10917,0.08036607,0.124866664,0.15279,0.13150714,0.287375,0.23313001,0.26833573,0.34856668,0.26554,0.317475,0.35206667,0.28217,0.32809106,0.05965833,0.10649,0.09858214,0.0011666667,0.00239,0.0018375,0.250425,0.30885,0.26161072,0.13255833,0.19486,0.14928928,0.389425,0.30468002,0.35402322,0.46457893,0.28008428,0.40718266
8,1,4308781.603561794,422018.00353764434,0.028866665,0.029066665,0.028075,0.0389,0.041583333,0.038805,0.0793,0.07535,0.073425,0.067833334,0.080066666,0.070709996,0.3843,0.32241666,0.35073,0.25966668,0.22826667,0.23668998,0.12503333,0.13208334,0.126985,0.0013,0.0033,0.00211,0.5113869,0.40002927,0.46042773,0.1113576,0.021925,0.025388889,0.0244,0.03765,0.03942222,0.03765333,0.08045,0.073866665,0.07423,0.0708,0.08084445,0.07162333,0.13315,0.13975555,0.13078333,0.2889,0.25167778,0.27058,0.352,0.28996667,0.32325,0.359675,0.3092889,0.34044,0.044775,0.11128889,0.1063,0.00305,0.0020333333,0.0025133332,0.259725,0.2505111,0.25356,0.129275,0.14097778,0.13536666,0.395275,0.32724443,0.36358002,0.47214293,0.379901,0.44437328
9,1,4296513.18710923,499809.2870051676,0.027888888,0.03682857,0.0300525,0.03551111,0.04587143,0.037867498,0.06632222,0.0678,0.0651275,0.063422225,0.07968571,0.066534996,0.3009,0.22507143,0.290645,0.22926667,0.2384,0.2204825,0.12431111,0.1615,0.13015,0.0010333332,0.0026,0.0016600001,0.40856722,0.25662634,0.3863089,0.15194088,0.029679999,0.03265,0.029709091,0.03164,0.0369625,0.032254543,0.06296667,0.059175,0.059907276,0.05628,0.072075,0.05995091,0.103306666,0.1053375,0.10427091,0.23721333,0.16965,0.21630181,0.28792,0.19775,0.26176545,0.28562,0.2099375,0.26832363,0.05456667,0.099425,0.091767274,0.0032333331,0.0024625,0.0025054547,0.23258,0.25305,0.23100908,0.12101333,0.16615,0.13166,0.32347333,0.2269125,0.29524726,0.40357095,0.24922402,0.3688781
